,Дата и время,Станция,Широта,Долгота,Температура,Скорость ветра,Направление ветра,Давление,Влажность,Осадки,CO,NO,NO2,PM2.5
0,2020-01-01 00:00:00,Академика Анохина,55.658163,37.471434,1.8,0.2,0.0,732.7,75.0,0.0,0.2,0.0,0.015,
1,2020-01-01 00:20:00,Академика Анохина,55.658163,37.471434,1.8,0.1,0.0,732.8,74.0,0.0,0.1,0.0,0.013,
2,2020-01-01 00:40:00,Академика Анохина,55.658163,37.471434,1.8,0.1,0.0,733.0,74.0,0.0,0.1,0.0,0.013,
3,2020-01-01 01:00:00,Академика Анохина,55.658163,37.471434,1.8,0.1,0.0,733.0,74.0,0.0,0.2,0.001,0.014,
4,2020-01-01 01:20:00,Академика Анохина,55.658163,37.471434,1.7,0.1,0.0,733.1,74.0,0.0,0.1,0.001,0.016,
5,2020-01-01 01:40:00,Академика Анохина,55.658163,37.471434,1.6,0.2,0.0,733.2,74.0,0.0,0.2,0.001,0.017,
6,2020-01-01 02:00:00,Академика Анохина,55.658163,37.471434,1.6,0.2,330.0,733.3,74.0,0.0,0.2,0.0,0.02,
7,2020-01-01 02:20:00,Академика Анохина,55.658163,37.471434,1.5,0.3,296.0,733.5,74.0,0.0,0.2,0.001,0.017,
8,2020-01-01 02:40:00,Академика Анохина,55.658163,37.471434,1.5,1.1,0.0,733.6,74.0,0.0,0.1,0.001,0.015,
9,2020-01-01 03:00:00,Академика Анохина,55.658163,37.471434,1.5,1.4,311.0,733.7,74.0,0.0,0.1,0.002,0.015,
10,2020-01-01 03:20:00,Академика Анохина,55.658163,37.471434,1.5,1.5,315.0,733.9,74.0,0.0,0.1,0.0,0.013,
11,2020-01-01 03:40:00,Академика Анохина,55.658163,37.471434,1.4,1.3,322.0,734.0,74.0,0.0,0.2,0.0,0.014,
12,2020-01-01 04:00:00,Академика Анохина,55.658163,37.471434,1.3,0.9,0.0,734.3,74.0,0.0,0.2,0.0,0.015,
13,2020-01-01 04:20:00,Академика Анохина,55.658163,37.471434,1.3,1.2,305.0,734.6,74.0,0.0,0.2,0.0,0.015,
14,2020-01-01 04:40:00,Академика Анохина,55.658163,37.471434,1.2,0.8,327.0,734.7,74.0,0.0,0.2,0.0,0.015,
15,2020-01-01 05:00:00,Академика Анохина,55.658163,37.471434,1.2,1.0,0.0,735.0,74.0,0.0,0.2,0.0,0.015,
16,2020-01-01 05:20:00,Академика Анохина,55.658163,37.471434,1.1,0.4,316.0,735.3,75.0,0.3,0.2,0.0,0.014,
17,2020-01-01 05:40:00,Академика Анохина,55.658163,37.471434,1.0,0.6,0.0,735.5,74.0,0.0,0.2,0.0,0.015,
18,2020-01-01 06:00:00,Академика Анохина,55.658163,37.471434,1.0,0.5,0.0,735.9,74.0,0.0,0.1,0.0,0.015,
19,2020-01-01 06:20:00,Академика Анохина,55.658163,37.471434,0.9,0.3,314.0,736.2,74.0,0.0,0.1,0.0,0.02,
20,2020-01-01 06:40:00,Академика Анохина,55.658163,37.471434,0.9,0.7,0.0,736.6,75.0,0.0,0.1,0.001,0.016,
21,2020-01-01 07:00:00,Академика Анохина,55.658163,37.471434,0.8,0.6,357.0,737.0,75.0,0.0,0.1,0.001,0.012,
22,2020-01-01 07:20:00,Академика Анохина,55.658163,37.471434,0.7,0.6,281.0,737.5,73.0,0.0,0.2,0.001,0.012,
23,2020-01-01 07:40:00,Академика Анохина,55.658163,37.471434,0.7,1.2,0.0,737.8,72.0,0.0,0.2,0.001,0.011,
24,2020-01-01 08:00:00,Академика Анохина,55.658163,37.471434,0.5,0.9,0.0,738.2,70.0,0.3,0.2,0.0,0.011,
25,2020-01-01 08:20:00,Академика Анохина,55.658163,37.471434,0.3,0.9,3.0,738.6,68.0,0.0,0.2,0.0,0.011,
26,2020-01-01 08:40:00,Академика Анохина,55.658163,37.471434,0.3,0.6,0.0,739.0,66.0,0.0,0.2,0.0,0.011,
27,2020-01-01 09:00:00,Академика Анохина,55.658163,37.471434,0.1,0.8,299.0,739.4,65.0,0.0,0.2,0.0,0.01,
