,Дата и время,Станция,Широта,Долгота,Температура,Скорость ветра,Направление ветра,Давление,Влажность,Осадки,CO,NO,NO2,PM10
0,2020-01-01 00:00:00,Марьино,55.652695,37.751502,2.3,0.5,359.0,735.2,82.7,0.0,0.1,0.001,0.0244,0.008
1,2020-01-01 00:20:00,Марьино,55.652695,37.751502,2.4,0.5,359.0,735.3,82.0,0.0,0.1,0.001,0.0232,0.008
2,2020-01-01 00:40:00,Марьино,55.652695,37.751502,2.4,0.4,194.0,735.4,81.4,0.0,0.1,0.001,0.02,0.011
3,2020-01-01 01:00:00,Марьино,55.652695,37.751502,2.5,0.9,292.0,735.5,80.6,0.0,0.1,0.001,0.017,0.013
4,2020-01-01 01:20:00,Марьино,55.652695,37.751502,2.5,0.6,307.0,735.6,80.5,0.0,0.1,0.001,0.0198,0.022
5,2020-01-01 01:40:00,Марьино,55.652695,37.751502,2.4,0.8,312.0,735.7,81.0,0.0,0.1,0.001,0.021,0.025
6,2020-01-01 02:00:00,Марьино,55.652695,37.751502,2.3,0.5,262.0,735.8,81.4,0.0,0.1,0.002,0.0186,0.039
7,2020-01-01 02:20:00,Марьино,55.652695,37.751502,2.2,0.8,281.0,736.0,82.0,0.0,0.1,0.001,0.0127,0.042
8,2020-01-01 02:40:00,Марьино,55.652695,37.751502,2.1,0.5,199.0,736.1,82.2,0.0,0.1,0.0,0.0148,0.035
9,2020-01-01 03:00:00,Марьино,55.652695,37.751502,2.0,0.7,197.0,736.2,83.0,0.0,0.1,0.0,0.0144,0.028
10,2020-01-01 03:20:00,Марьино,55.652695,37.751502,1.9,0.6,359.0,736.4,83.9,0.0,0.1,0.001,0.0169,0.024
11,2020-01-01 03:40:00,Марьино,55.652695,37.751502,1.9,0.9,359.0,736.6,83.6,0.0,0.1,0.0,0.0178,0.022
12,2020-01-01 04:00:00,Марьино,55.652695,37.751502,2.0,1.2,359.0,736.8,81.6,0.0,0.1,0.0,0.0106,0.017
13,2020-01-01 04:20:00,Марьино,55.652695,37.751502,2.1,0.7,359.0,737.0,81.2,0.0,0.1,0.0,0.012,0.014
14,2020-01-01 04:40:00,Марьино,55.652695,37.751502,1.8,0.6,0.0,737.3,82.7,0.0,0.1,0.0,0.0107,0.013
15,2020-01-01 05:00:00,Марьино,55.652695,37.751502,1.8,0.9,0.0,737.5,82.6,0.0,0.1,0.0,0.0133,0.01
16,2020-01-01 05:20:00,Марьино,55.652695,37.751502,1.9,1.1,297.0,737.7,81.5,0.0,0.1,0.001,0.0162,0.007
17,2020-01-01 05:40:00,Марьино,55.652695,37.751502,1.8,1.8,281.0,738.0,81.0,0.0,0.1,0.001,0.014,0.006
18,2020-01-01 06:00:00,Марьино,55.652695,37.751502,1.7,1.6,343.0,738.4,80.9,0.0,0.1,0.0,0.0109,0.006
19,2020-01-01 06:20:00,Марьино,55.652695,37.751502,1.6,1.7,56.0,738.7,81.0,0.0,0.1,0.0,0.0078,0.005
20,2020-01-01 06:40:00,Марьино,55.652695,37.751502,1.5,1.3,239.0,739.0,80.9,0.0,0.1,0.0,0.0064,0.005
21,2020-01-01 07:00:00,Марьино,55.652695,37.751502,1.4,1.5,359.0,739.4,79.9,0.0,0.1,0.0,0.0042,0.005
22,2020-01-01 07:20:00,Марьино,55.652695,37.751502,1.2,1.5,354.0,739.9,78.2,0.0,0.1,0.0,0.0029,0.004
23,2020-01-01 07:40:00,Марьино,55.652695,37.751502,1.2,1.9,335.0,740.2,77.4,0.0,0.1,0.0,0.0034,0.004
24,2020-01-01 08:00:00,Марьино,55.652695,37.751502,1.1,2.1,27.0,740.6,76.9,0.0,0.1,0.0,0.0056,0.004
25,2020-01-01 08:20:00,Марьино,55.652695,37.751502,0.9,2.3,264.0,741.1,77.5,0.0,0.1,0.0,0.0089,0.007
26,2020-01-01 08:40:00,Марьино,55.652695,37.751502,0.7,2.6,347.0,741.5,74.0,0.0,0.1,0.0,0.0047,0.003
27,2020-01-01 09:00:00,Марьино,55.652695,37.751502,0.5,2.2,322.0,741.9,72.7,0.0,0.1,0.0,0.0049,0.003
28,2020-01-01 09:20:00,Марьино,55.652695,37.751502,0.4,1.9,359.0,742.3,73.0,0.0,0.1,0.001,0.0124,0.006
29,2020-01-01 09:40:00,Марьино,55.652695,37.751502,0.2,2.4,354.0,742.7,75.6,0.0,0.1,0.001,0.0106,0.009
30,2020-01-01 10:00:00,Марьино,55.652695,37.751502,-0.4,2.3,291.0,743.2,80.3,0.0,0.1,0.0,0.003,0.017
31,2020-01-01 10:20:00,Марьино,55.652695,37.751502,-0.5,2.0,269.0,743.7,75.5,0.0,0.1,0.0,0.0036,0.007
32,2020-01-01 10:40:00,Марьино,55.652695,37.751502,-0.7,2.4,293.0,744.1,70.6,0.0,0.1,0.001,0.0059,0.003
33,2020-01-01 11:00:00,Марьино,55.652695,37.751502,-1.0,2.2,299.0,744.5,64.2,0.0,0.0,0.001,0.0045,0.001
34,2020-01-01 11:20:00,Марьино,55.652695,37.751502,-1.4,2.3,14.0,744.9,60.5,0.0,0.0,0.004,0.0041,0.003
35,2020-01-01 11:40:00,Марьино,55.652695,37.751502,-1.6,2.2,316.0,745.2,58.2,0.0,0.0,0.008,0.0088,0.004
36,2020-01-01 12:00:00,Марьино,55.652695,37.751502,-1.6,2.6,354.0,745.4,57.3,0.0,0.0,0.002,0.0037,0.005
37,2020-01-01 12:20:00,Марьино,55.652695,37.751502,-1.6,2.1,359.0,745.7,58.4,0.0,0.0,0.001,0.0004,0.006
38,2020-01-01 12:40:00,Марьино,55.652695,37.751502,-1.7,2.3,320.0,745.8,60.3,0.0,0.0,0.0,0.0,0.008
39,2020-01-01 13:00:00,Марьино,55.652695,37.751502,-1.7,1.5,295.0,745.9,62.0,0.0,0.0,0.001,0.0052,0.008
40,2020-01-01 13:20:00,Марьино,55.652695,37.751502,-1.7,1.7,350.0,746.1,64.7,0.0,0.0,0.0,0.0031,0.018
41,2020-01-01 13:40:00,Марьино,55.652695,37.751502,-1.8,1.6,331.0,746.4,66.0,0.0,0.0,0.001,0.0077,0.014
42,2020-01-01 14:00:00,Марьино,55.652695,37.751502,-1.8,1.4,20.0,746.5,65.2,0.0,0.0,0.0,0.007,0.008
43,2020-01-01 14:20:00,Марьино,55.652695,37.751502,-1.7,1.5,354.0,746.6,64.9,0.0,0.0,0.001,0.0084,0.007
44,2020-01-01 14:40:00,Марьино,55.652695,37.751502,-1.7,1.8,310.0,746.7,60.2,0.0,0.0,0.0,0.0016,0.004
45,2020-01-01 15:00:00,Марьино,55.652695,37.751502,-1.9,1.6,291.0,746.9,58.6,0.0,0.0,0.0,0.0,0.004
46,2020-01-01 15:20:00,Марьино,55.652695,37.751502,-2.1,1.9,332.0,747.1,59.3,0.0,0.0,0.0,0.0012,0.005
47,2020-01-01 15:40:00,Марьино,55.652695,37.751502,-2.1,1.0,300.0,747.3,61.7,0.0,0.0,0.0,0.009,0.007
48,2020-01-01 16:00:00,Марьино,55.652695,37.751502,-2.3,0.9,312.0,747.6,63.3,0.0,0.0,0.0,0.0122,0.008
49,2020-01-01 16:20:00,Марьино,55.652695,37.751502,-2.4,0.6,0.0,747.8,63.1,0.0,0.0,0.0,0.0142,0.007
50,2020-01-01 16:40:00,Марьино,55.652695,37.751502,-2.5,0.5,0.0,748.1,64.1,0.0,0.0,0.0,0.0223,0.008
51,2020-01-01 17:00:00,Марьино,55.652695,37.751502,-2.8,0.7,0.0,748.3,65.3,0.0,0.0,0.0,0.0271,0.008
52,2020-01-01 17:20:00,Марьино,55.652695,37.751502,-3.0,1.0,359.0,748.4,66.0,0.0,0.0,0.0,0.0203,0.007
53,2020-01-01 17:40:00,Марьино,55.652695,37.751502,-3.1,0.7,329.0,748.5,67.4,0.0,0.0,0.0,0.0196,0.008
54,2020-01-01 18:00:00,Марьино,55.652695,37.751502,-3.1,0.5,0.0,748.7,68.7,0.0,0.0,0.0,0.0202,0.009
55,2020-01-01 18:20:00,Марьино,55.652695,37.751502,-2.8,0.3,263.0,748.7,69.0,0.0,0.0,0.0,0.0245,0.009
56,2020-01-01 18:40:00,Марьино,55.652695,37.751502,-2.5,0.4,359.0,748.7,69.4,0.0,0.0,0.0,0.021,0.009
57,2020-01-01 19:00:00,Марьино,55.652695,37.751502,-2.2,0.7,150.0,748.7,69.4,0.0,0.0,0.001,0.0192,0.008
58,2020-01-01 19:20:00,Марьино,55.652695,37.751502,-2.1,0.8,197.0,748.6,70.0,0.0,0.0,0.0,0.0164,0.008
59,2020-01-01 19:40:00,Марьино,55.652695,37.751502,-2.0,0.6,0.0,748.6,70.9,0.0,0.0,0.0,0.018,0.008
60,2020-01-01 20:00:00,Марьино,55.652695,37.751502,-1.9,0.5,0.0,748.6,71.5,0.0,0.0,0.0,0.019,0.009
61,2020-01-01 20:20:00,Марьино,55.652695,37.751502,-1.7,0.6,359.0,748.7,71.3,0.0,0.0,0.0,0.0194,0.009
62,2020-01-01 20:40:00,Марьино,55.652695,37.751502,-1.6,0.9,279.0,748.7,71.0,0.0,0.0,0.0,0.0137,0.009
63,2020-01-01 21:00:00,Марьино,55.652695,37.751502,-1.5,0.5,276.0,748.8,71.7,0.0,0.0,0.0,0.0188,0.009
64,2020-01-01 21:20:00,Марьино,55.652695,37.751502,-1.4,0.5,0.0,748.9,72.0,0.0,0.0,0.0,0.0216,0.008
65,2020-01-01 21:40:00,Марьино,55.652695,37.751502,-1.2,0.4,0.0,748.9,72.0,0.0,0.0,0.0,0.0189,0.01
66,2020-01-01 22:00:00,Марьино,55.652695,37.751502,-1.1,0.4,204.0,749.1,72.0,0.0,0.0,0.002,0.0198,0.013
67,2020-01-01 22:20:00,Марьино,55.652695,37.751502,-1.1,0.6,0.0,749.1,72.0,0.0,0.0,0.0,0.0146,0.011
68,2020-01-01 22:40:00,Марьино,55.652695,37.751502,-1.0,0.2,276.0,749.1,72.1,0.0,0.0,0.0,0.0132,0.009
69,2020-01-01 23:00:00,Марьино,55.652695,37.751502,-0.9,0.4,0.0,749.0,73.1,0.0,0.0,0.0,0.0124,0.008
70,2020-01-01 23:20:00,Марьино,55.652695,37.751502,-1.0,0.6,237.0,748.9,75.2,0.0,0.0,0.0,0.0132,0.008
71,2020-01-01 23:40:00,Марьино,55.652695,37.751502,-1.2,1.1,182.0,748.8,76.8,0.0,0.2,0.0,0.0088,0.008
72,2020-01-02 00:00:00,Марьино,55.652695,37.751502,-1.3,0.6,243.0,748.8,78.4,0.0,0.2,0.0,0.0111,0.009
73,2020-01-02 00:20:00,Марьино,55.652695,37.751502,-1.3,1.0,0.0,748.8,79.0,0.0,0.3,0.0,0.0108,0.01
74,2020-01-02 00:40:00,Марьино,55.652695,37.751502,-1.3,0.5,232.0,748.8,79.0,0.0,0.3,0.0,0.0121,0.01
75,2020-01-02 01:00:00,Марьино,55.652695,37.751502,-1.2,0.8,349.0,748.7,79.0,0.0,0.3,0.001,0.0165,0.011
76,2020-01-02 01:20:00,Марьино,55.652695,37.751502,-1.1,0.3,0.0,748.7,79.6,0.0,0.3,0.0,0.0132,0.011
77,2020-01-02 01:40:00,Марьино,55.652695,37.751502,-1.1,0.2,0.0,748.5,80.5,0.0,0.3,0.0,0.0076,0.009
78,2020-01-02 02:00:00,Марьино,55.652695,37.751502,-1.2,0.5,0.0,748.6,81.1,0.0,0.3,0.0,0.0053,0.008
79,2020-01-02 02:20:00,Марьино,55.652695,37.751502,-1.2,0.3,0.0,748.5,82.0,0.0,0.3,0.0,0.0053,0.008
80,2020-01-02 02:40:00,Марьино,55.652695,37.751502,-1.2,0.3,260.0,748.4,82.0,0.0,0.3,0.0,0.0022,0.008
81,2020-01-02 03:00:00,Марьино,55.652695,37.751502,-1.2,0.3,104.0,748.1,82.0,0.0,0.3,0.0,0.0005,0.006
82,2020-01-02 03:20:00,Марьино,55.652695,37.751502,-1.2,0.5,359.0,747.8,81.6,0.0,0.2,0.0,0.0,0.004
83,2020-01-02 03:40:00,Марьино,55.652695,37.751502,-1.2,0.5,250.0,747.7,81.8,0.0,0.2,0.0,0.0,0.005
84,2020-01-02 04:00:00,Марьино,55.652695,37.751502,-1.0,0.5,141.0,747.8,81.2,0.0,0.2,0.0,0.0,0.006
85,2020-01-02 04:20:00,Марьино,55.652695,37.751502,-0.9,0.4,0.0,747.7,81.0,0.0,0.2,0.0,0.0,0.006
86,2020-01-02 04:40:00,Марьино,55.652695,37.751502,-0.9,0.4,0.0,747.5,81.2,0.0,0.2,0.0,0.0002,0.006
87,2020-01-02 05:00:00,Марьино,55.652695,37.751502,-0.9,0.4,124.0,747.2,82.0,0.0,0.2,0.0,0.0,0.005
88,2020-01-02 05:20:00,Марьино,55.652695,37.751502,-0.9,0.5,183.0,747.0,81.6,0.0,0.2,0.0,0.0002,0.005
89,2020-01-02 05:40:00,Марьино,55.652695,37.751502,-0.7,0.4,0.0,746.9,81.0,0.0,0.2,0.0,0.0017,0.005
90,2020-01-02 06:00:00,Марьино,55.652695,37.751502,-0.7,0.6,232.0,746.8,81.2,0.0,0.2,0.0,0.0022,0.007
91,2020-01-02 06:20:00,Марьино,55.652695,37.751502,-0.7,0.4,0.0,746.6,82.0,0.0,0.2,0.0,0.0027,0.007
92,2020-01-02 06:40:00,Марьино,55.652695,37.751502,-0.7,0.5,0.0,746.5,82.0,0.0,0.2,0.0,0.0042,0.006
93,2020-01-02 07:00:00,Марьино,55.652695,37.751502,-0.6,0.5,0.0,746.3,82.0,0.0,0.2,0.0,0.0033,0.006
94,2020-01-02 07:20:00,Марьино,55.652695,37.751502,-0.3,1.6,262.0,746.3,81.0,0.0,0.2,0.0,0.0051,0.005
95,2020-01-02 07:40:00,Марьино,55.652695,37.751502,-0.2,1.7,249.0,746.2,80.9,0.0,0.2,0.0,0.0059,0.006
96,2020-01-02 08:00:00,Марьино,55.652695,37.751502,-0.1,0.9,207.0,746.1,80.0,0.0,0.2,0.0,0.0054,0.007
97,2020-01-02 08:20:00,Марьино,55.652695,37.751502,0.0,1.1,251.0,745.9,80.8,0.0,0.2,0.0,0.006,0.007
98,2020-01-02 08:40:00,Марьино,55.652695,37.751502,-0.1,0.9,0.0,745.5,81.5,0.0,0.2,0.0,0.0078,0.006
99,2020-01-02 09:00:00,Марьино,55.652695,37.751502,0.0,0.5,231.0,745.2,81.0,0.0,0.2,0.001,0.0084,0.006
100,2020-01-02 09:20:00,Марьино,55.652695,37.751502,0.1,0.8,246.0,745.2,80.9,0.0,0.2,0.0,0.0062,0.007
101,2020-01-02 09:40:00,Марьино,55.652695,37.751502,0.2,0.7,359.0,745.5,80.0,0.0,0.3,0.003,0.012,0.009
102,2020-01-02 10:00:00,Марьино,55.652695,37.751502,0.3,0.3,212.0,745.6,80.6,0.3,0.3,0.006,0.0165,0.012
103,2020-01-02 10:20:00,Марьино,55.652695,37.751502,0.2,0.8,202.0,745.5,82.1,0.0,0.3,0.002,0.0115,0.024
104,2020-01-02 10:40:00,Марьино,55.652695,37.751502,0.1,0.9,222.0,745.5,83.0,0.0,0.2,0.001,0.0125,0.015
105,2020-01-02 11:00:00,Марьино,55.652695,37.751502,0.2,0.6,359.0,745.4,83.9,0.3,0.3,0.002,0.0147,0.009
106,2020-01-02 11:20:00,Марьино,55.652695,37.751502,0.2,1.2,359.0,745.3,84.0,0.3,0.3,0.002,0.0156,0.007
107,2020-01-02 11:40:00,Марьино,55.652695,37.751502,0.3,1.1,359.0,745.4,84.0,0.3,0.1,0.001,0.0156,0.008
108,2020-01-02 12:00:00,Марьино,55.652695,37.751502,0.4,0.9,359.0,745.4,84.8,0.0,0.1,0.002,0.0146,0.008
109,2020-01-02 12:20:00,Марьино,55.652695,37.751502,0.6,1.1,192.0,745.3,84.0,0.0,0.1,0.003,0.0172,0.007
110,2020-01-02 12:40:00,Марьино,55.652695,37.751502,0.8,0.8,169.0,745.1,83.0,0.0,0.1,0.003,0.016,0.006
111,2020-01-02 13:00:00,Марьино,55.652695,37.751502,1.0,0.8,228.0,745.0,82.3,0.0,0.1,0.002,0.013,0.006
112,2020-01-02 13:20:00,Марьино,55.652695,37.751502,1.2,1.2,230.0,744.9,81.2,0.0,0.1,0.002,0.0153,0.007
113,2020-01-02 13:40:00,Марьино,55.652695,37.751502,1.4,1.1,215.0,744.9,80.4,0.0,0.1,0.002,0.0199,0.007
