,Дата и время,Станция,Широта,Долгота,Температура,Скорость ветра,Направление ветра,Давление,Влажность,Осадки,CO,NO,NO2,PM2.5,PM10
0,2020-01-01 00:00:00,Пролетарский проспект,55.635129,37.658684,2.4,1.3,214.0,731.4,87.4,0.0,0.17,0.008,0.0086,0.004,0.006
1,2020-01-01 00:20:00,Пролетарский проспект,55.635129,37.658684,2.5,1.6,167.0,731.6,86.6,0.0,0.15,0.007,0.0047,0.004,0.006
2,2020-01-01 00:40:00,Пролетарский проспект,55.635129,37.658684,2.6,1.5,199.0,731.6,85.9,0.0,0.14,0.007,0.005,0.018,
3,2020-01-01 01:00:00,Пролетарский проспект,55.635129,37.658684,2.6,1.3,144.0,731.7,85.0,0.0,0.13,0.007,0.0044,0.015,
4,2020-01-01 01:20:00,Пролетарский проспект,55.635129,37.658684,2.5,1.5,208.0,731.8,85.0,0.0,0.15,0.007,0.0056,0.016,0.033
5,2020-01-01 01:40:00,Пролетарский проспект,55.635129,37.658684,2.5,1.6,197.0,731.9,85.9,0.0,0.15,0.007,0.0072,0.023,0.029
6,2020-01-01 02:00:00,Пролетарский проспект,55.635129,37.658684,2.4,1.6,0.0,732.0,86.0,0.0,0.15,0.007,0.0047,0.024,0.027
7,2020-01-01 02:20:00,Пролетарский проспект,55.635129,37.658684,2.4,1.3,185.0,732.2,86.0,0.0,0.15,0.007,0.0031,0.019,0.023
8,2020-01-01 02:40:00,Пролетарский проспект,55.635129,37.658684,2.2,1.0,0.0,732.3,86.6,0.0,0.15,0.007,0.0033,0.02,0.023
9,2020-01-01 03:00:00,Пролетарский проспект,55.635129,37.658684,2.1,1.1,212.0,732.4,87.0,0.0,0.15,0.006,0.0031,0.016,0.018
10,2020-01-01 03:20:00,Пролетарский проспект,55.635129,37.658684,2.1,0.6,87.0,732.6,87.0,0.0,0.16,0.007,0.0045,0.016,0.018
11,2020-01-01 03:40:00,Пролетарский проспект,55.635129,37.658684,2.0,0.9,232.0,732.7,87.0,0.0,0.14,0.007,0.0035,0.009,0.011
12,2020-01-01 04:00:00,Пролетарский проспект,55.635129,37.658684,2.0,0.5,0.0,733.0,87.0,0.0,0.14,0.006,0.0032,0.009,0.01
13,2020-01-01 04:20:00,Пролетарский проспект,55.635129,37.658684,1.9,0.7,194.0,733.2,87.0,0.0,0.14,0.006,0.0041,0.008,0.008
14,2020-01-01 04:40:00,Пролетарский проспект,55.635129,37.658684,1.8,0.4,0.0,733.4,87.3,0.0,0.13,0.007,0.0044,0.007,0.008
