,Дата и время,Станция,Широта,Долгота,Температура,Скорость ветра,Направление ветра,Давление,Влажность,Осадки,CO,NO,NO2,PM2.5,PM10
0,2020-01-01 00:00:00,Спиридоновка,55.759354,37.595584,2.5,0.4,234.0,732.4,97.0,0.0,0.2,0.001,0.024,0.008,0.01
1,2020-01-01 00:20:00,Спиридоновка,55.759354,37.595584,2.6,0.5,0.0,732.4,97.0,0.0,0.2,0.001,0.024,0.011,0.011
2,2020-01-01 00:40:00,Спиридоновка,55.759354,37.595584,2.6,0.4,230.0,732.5,97.0,0.0,0.2,0.001,0.024,0.012,0.011
3,2020-01-01 01:00:00,Спиридоновка,55.759354,37.595584,2.7,0.4,212.0,732.6,96.5,0.0,0.1,0.001,0.024,0.012,0.013
4,2020-01-01 01:20:00,Спиридоновка,55.759354,37.595584,2.7,0.4,226.0,732.7,96.0,0.0,0.1,0.001,0.025,0.016,0.017
5,2020-01-01 01:40:00,Спиридоновка,55.759354,37.595584,2.7,0.5,210.0,732.9,96.0,0.0,0.1,0.001,0.024,0.021,0.022
6,2020-01-01 02:00:00,Спиридоновка,55.759354,37.595584,2.7,0.4,199.0,733.0,96.0,0.0,0.1,0.001,0.023,0.025,0.028
7,2020-01-01 02:20:00,Спиридоновка,55.759354,37.595584,2.7,0.3,209.0,733.1,96.0,0.0,0.1,0.001,0.019,0.025,0.03
8,2020-01-01 02:40:00,Спиридоновка,55.759354,37.595584,2.6,0.3,0.0,733.3,96.0,0.0,0.1,0.001,0.017,0.025,0.032
9,2020-01-01 03:00:00,Спиридоновка,55.759354,37.595584,2.6,0.2,0.0,733.4,96.0,0.0,0.1,0.001,0.016,0.023,0.029
10,2020-01-01 03:20:00,Спиридоновка,55.759354,37.595584,2.5,0.2,0.0,733.6,96.5,0.0,0.3,0.0,0.016,0.016,0.028
11,2020-01-01 03:40:00,Спиридоновка,55.759354,37.595584,2.5,0.3,197.0,733.7,96.1,0.0,0.3,0.0,0.017,0.013,0.018
12,2020-01-01 04:00:00,Спиридоновка,55.759354,37.595584,2.5,0.3,232.0,734.0,95.7,0.0,0.3,0.0,0.017,0.01,0.014
13,2020-01-01 04:20:00,Спиридоновка,55.759354,37.595584,2.4,0.2,204.0,734.2,96.0,0.0,0.3,0.001,0.018,0.01,0.012
14,2020-01-01 04:40:00,Спиридоновка,55.759354,37.595584,2.3,0.3,212.0,734.4,96.0,0.0,0.3,0.0,0.018,0.008,0.01
15,2020-01-01 05:00:00,Спиридоновка,55.759354,37.595584,2.2,0.4,0.0,734.6,96.0,0.0,0.3,0.0,0.017,0.005,0.008
16,2020-01-01 05:20:00,Спиридоновка,55.759354,37.595584,2.2,0.4,0.0,734.9,96.0,0.0,0.3,0.0,0.016,0.01,0.008
17,2020-01-01 05:40:00,Спиридоновка,55.759354,37.595584,2.1,0.3,178.0,735.3,96.0,0.0,0.3,0.001,0.015,0.008,0.007
