,Дата и время,Станция,Широта,Долгота,Температура,Скорость ветра,Направление ветра,Давление,Влажность,Осадки,CO,NO,NO2,PM2.5,PM10
0,2020-01-01 00:00:00,Туристская,55.856324,37.426628,2.4,0.4,263.0,729.2,81.0,0.0,0.01,0.004,0.017,,0.008
1,2020-01-01 00:20:00,Туристская,55.856324,37.426628,2.5,0.6,0.0,729.3,81.0,0.0,0.01,0.003,0.017,,0.007
2,2020-01-01 00:40:00,Туристская,55.856324,37.426628,2.5,0.7,238.0,729.4,81.0,0.0,0.0,0.003,0.017,,0.008
3,2020-01-01 01:00:00,Туристская,55.856324,37.426628,2.5,0.4,237.0,729.5,81.0,0.0,0.0,0.003,0.017,,0.022
4,2020-01-01 01:20:00,Туристская,55.856324,37.426628,2.4,0.2,229.0,729.6,81.0,0.0,0.0,0.003,0.017,,0.035
5,2020-01-01 01:40:00,Туристская,55.856324,37.426628,2.4,0.1,0.0,729.8,81.0,0.0,0.0,0.003,0.017,,0.035
6,2020-01-01 02:00:00,Туристская,55.856324,37.426628,2.4,0.2,305.0,729.9,81.0,0.0,0.0,0.004,0.017,,0.042
7,2020-01-01 02:20:00,Туристская,55.856324,37.426628,2.3,0.3,276.0,730.1,81.0,0.0,0.0,0.004,0.018,,0.031
8,2020-01-01 02:40:00,Туристская,55.856324,37.426628,2.2,0.4,0.0,730.2,81.0,0.0,0.0,0.005,0.018,,0.025
9,2020-01-01 03:00:00,Туристская,55.856324,37.426628,2.2,0.5,0.0,730.4,81.0,0.0,0.0,0.005,0.018,,0.022
10,2020-01-01 03:20:00,Туристская,55.856324,37.426628,2.1,0.6,305.0,730.6,81.0,0.0,0.0,0.005,0.018,,0.015
11,2020-01-01 03:40:00,Туристская,55.856324,37.426628,2.1,0.6,0.0,730.7,81.0,0.0,0.0,0.005,0.018,,0.011
12,2020-01-01 04:00:00,Туристская,55.856324,37.426628,2.1,0.9,305.0,730.9,81.0,0.0,0.0,0.005,0.017,,0.009
13,2020-01-01 04:20:00,Туристская,55.856324,37.426628,2.1,0.5,0.0,731.2,80.0,0.0,0.0,0.005,0.017,,0.008
14,2020-01-01 04:40:00,Туристская,55.856324,37.426628,2.0,0.4,0.0,731.4,80.0,0.0,0.0,0.004,0.017,,0.007
15,2020-01-01 05:00:00,Туристская,55.856324,37.426628,1.9,0.7,0.0,731.7,81.0,0.049999999999999996,0.0,0.004,0.017,,0.007
16,2020-01-01 05:20:00,Туристская,55.856324,37.426628,1.7,0.4,0.0,732.0,81.0,0.049999999999999996,0.0,0.004,0.017,,0.006
